codigo_glaciar,nombre,tipo_glaciar,area_km2,region,provincia,comuna,latitud,longitud,cuenca,macrozona,altitud_media_msnm,altitud_max_msnm,altitud_min_msnm,volumen_hielo_km3,volumen_agua_km3,pendiente_grados,orientacion,anio_inventario
CL104310055@,sin_nombre,GLACIAR ROCOSO,0.0359686172927,COQUIMBO,ELQUI,PAIGUANO,-30.3052478914004,-70.3988522927258,RIO ELQUI,MACROZONA NORTE,3979.68599034,4041,3933,0.000187665581824,0.000172089338533,18.4267003087,SW,2020
CL104304071@,sin_nombre,GLACIAR ROCOSO,0.0440738012571,COQUIMBO,ELQUI,VICUÑA,-30.2608607299765,-70.1969596010251,RIO ELQUI,MACROZONA NORTE,4327.22700587,4398,4262,0.000247257264999,0.000226734912004,28.2917574147,N,2019
CL104300167@,sin_nombre,GLACIAR ROCOSO,0.0190138534345,COQUIMBO,ELQUI,VICUÑA,-30.2024046846679,-69.9488268683613,RIO ELQUI,MACROZONA NORTE,4569.0678733,4599,4534,7.90122252096e-05,7.24542105172e-05,24.7700045314,SE,2019
CL104310056@,sin_nombre,GLACIAR ROCOSO,0.110506170615,COQUIMBO,ELQUI,PAIGUANO,-30.4337885161065,-70.2787467627816,RIO ELQUI,MACROZONA NORTE,4148.18181818,4278,4047,0.000860739296658,0.000789297935035,18.572336208,NW,2020
CL104310057@,sin_nombre,GLACIAR ROCOSO,0.0102528977078,COQUIMBO,ELQUI,PAIGUANO,-30.3507335254057,-70.3434448982684,RIO ELQUI,MACROZONA NORTE,4069.41880342,4118,4028,3.41755080769e-05,3.13389409065e-05,28.9601013314,S,2020
CL104310058@,sin_nombre,GLACIAR ROCOSO,0.0255510566728,COQUIMBO,ELQUI,PAIGUANO,-30.3372126167693,-70.3274899761255,RIO ELQUI,MACROZONA NORTE,3998.38926174,4061,3953,0.000117991287615,0.000108198010743,26.2237542732,S,2020
CL104300169@,TAPADO ROCOSO 2,GLACIAR ROCOSO,0.226972317472,COQUIMBO,ELQUI,VICUÑA,-30.1583313933801,-69.9177528187454,RIO ELQUI,MACROZONA NORTE,4505.37762505,4678,4343,0.00228586893085,0.00209614180959,17.7578995414,E,2020
CL104300168@,TAPADO ROCOSO 1,GLACIAR ROCOSO,0.09656687703,COQUIMBO,ELQUI,VICUÑA,-30.1595555947307,-69.9135759803865,RIO ELQUI,MACROZONA NORTE,4445.94217082,4489,4395,0.000716816443884,0.000657320679042,14.5088086026,SE,2020
CL104500073A,VOLCAN,GLACIAR DE MONTAÑA,0.434414279627,COQUIMBO,LIMARI,RIO HURTADO,-30.5042959738419,-70.2694827702365,RIO LIMARI,MACROZONA NORTE,5066.99661826,5483,4752,0.00919349646754,0.00781447199741,30.002409219,SE,2019
CL104500090@,sin_nombre,GLACIARETE,0.0530518444732,COQUIMBO,LIMARI,RIO HURTADO,-30.5422021764377,-70.203824303706,RIO LIMARI,MACROZONA NORTE,4494.73089172,4582,4428,0.000529984809444,0.000450487088027,24.1256377203,S,2019
